species:ncbi:53923	Bajagua|Mocote|Christmas-candle|candlebush|c. alata|C. alata|S. alata (L.) Roxb.|S.alata (L.) Roxb.|senna alata (L.) Roxb.|Senna alata|bajaguas|Cassia alata|christmas-candle|Candlebush|s. alata (L.) Roxb.|cassia alata|s.alata (L.) Roxb.|bajagua|mocotes|Bajaguas|C.alata|c.alata|s. alata|Mocotes|mocote|senna alata|Senna alata (L.) Roxb.|candlebushs|Christmas-candles|Candlebushs|christmas-candles|S. alata|S.alata|s.alata
species:ncbi:53953	Pyrococcus horikoshii Gonzlez et al. 1999|P. horikoshii|p.horikoshii|pyrococcus shinkaii|pyrococcus horikoshii Gonzlez et al. 1999|P.shinkaii|Pyrococcus horikoshii|P.horikoshii|p.shinkaii|pyrococcus horikoshii|Pyrococcus shinkaii|P. shinkaii|p. shinkaii|p. horikoshii
species:ncbi:53972	R. corynebacterioides|nocardia corynebacterioides|Corynebacterium rubrum|c.rubrum|N.corynebacterioides|r. corynebacterioides|corynebacterium rubrum|r.corynebacterioides|nocardia corynebacterioides Serrano et al. 1972 (Approved Lists 1980)|c. rubrum|n.corynebacterioides|Nocardia corynebacterioides Serrano et al. 1972 (Approved Lists 1980)|n. corynebacterioides|N. corynebacterioides|rhodococcus corynebacterioides (Serrano et al. 1972) Yassin and Schaal 2005|C. rubrum|C.rubrum|rhodococcus corynebacterioides|R.corynebacterioides|nocardia corynebacteroides|Rhodococcus corynebacterioides|Rhodococcus corynebacterioides (Serrano et al. 1972) Yassin and Schaal 2005|Nocardia corynebacterioides|Nocardia corynebacteroides
species:ncbi:53988	microplitis demolitor virus|Microplitis demolitor polydnavirus|microplitis demolitor bracovirus|M. demolitor bracovirus|microplitis demolitor polydnavirus|m.demolitor virus|Microplitis demolitor bracovirus|m. demolitor virus|Microplitis demolitor virus|M.demolitor bracovirus|m. demolitor polydnavirus|M. demolitor virus|m.demolitor bracovirus|m. demolitor bracovirus|M. demolitor polydnavirus|M.demolitor virus|M.demolitor polydnavirus|m.demolitor polydnavirus
species:ncbi:53984	phytophthora citricola|phytophthora citricola Sawada 1927|p.citricola|Phytophthora citricola|P. citricola|P.citricola|p. citricola|Phytophthora citricola Sawada 1927
species:ncbi:53992	Cylicocyclus nassatus|cylicocyclus nassatus|c.nassatus|C. nassatus|C.nassatus|c. nassatus
species:ncbi:18101	G. hybrid cultivar|Gerbera hybrid cv. 'Terra Nero's|Gerbera hybrid cv. 'Terra Regina's|G.hybrid cultivar|g. hybrida|Gerbera hybrid cultivar|g. hybrid cultivar|G. hybrida|gerbera hybrid cv. 'Terra Regina'|gerbera hybrid cv. 'Terra Nero'|gerbera hybrid cv. 'Terra Regina's|g.hybrid cultivar|Gerbera hybrid cv. 'Terra Nero'|Gerbera x sp.|gerbera hybrida|Gerbera hybrida cultivar|Gerbera hybrida|gerbera x sp.|gerbera hybrida cultivar|Gerbera hybrid cv. 'Terra Regina'|g.hybrida|gerbera hybrid cultivar|G.hybrida|gerbera hybrid cv. 'Terra Nero's
species:ncbi:501392	Q. faginea|q.faginea Lam.|quercus faginea Lam.|quercus faginea|Q.faginea|Q.faginea Lam.|q.faginea|Q. faginea Lam.|q. faginea Lam.|Quercus faginea|Quercus faginea Lam.|q. faginea
species:ncbi:370023	D.siboney|d. siboney|D. siboney|d.siboney|dermatophagoides siboney|Dermatophagoides siboney
species:ncbi:443222	cedrela sinensis|cedrela sinensis A.Juss.|C. sinensis|T. serrata|c. sinensis|toona serrata (Royle) M.Roem.|t.serrata|Toona sinensis (A.Juss.) M.Roem.|Cedrela sinensis A.Juss.|Toona serrata (Royle) M.Roem.|toona sinensis|T.sinensis|Cedrela sinensis|T.serrata|t.sinensis|toona sinensis (A.Juss.) M.Roem.|t. sinensis|Toona sinensis|Toona serrata|T. sinensis|toona serrata|C.sinensis|c.sinensis|t. serrata
species:ncbi:443810	R. tapirina|rhombosolea tapirina|greenback flounders|r.tapirina|r. tapirina|greenback flounder|Greenback flounder|Rhombosolea tapirina|Greenback flounders|R.tapirina
