#id	regular expression
species:ncbi:173331	[Pp]ermits?
species:ncbi:59837	[sS]pots?
species:ncbi:55581	[Nn]ames?
species:ncbi:255564	[Rr]ays?
species:ncbi:215167	3A
species:ncbi:3708	[Rr]apes?
species:ncbi:34205	[Ff]lags?
species:ncbi:10760	T7
species:ncbi:76720	Fishers?
species:ncbi:9685	Cat[^s]
species:ncbi:37334	Yu
species:ncbi:138334	[Rr]amp
species:ncbi:64459	[sS]mall white
species:ncbi:185542	mates?
species:ncbi:9793	Ass
species:ncbi:6239	[Nn]ematodes?
species:ncbi:1829	[Jj]1
species:col2009:c:1115492	[eE]
*	[sS]pikes?
species:col2009:c:84252	asp
species:col2009:c:1115247	nigra
species:col2009:c:1394083	fossa
species:col2009:c:1119332	[nN]ot availables?
species:col2009:c:1663261	goblet
species:col2009:c:1115492	ige
species:col2009:c:1115492	es
