#species	count
species:ncbi:9606	17461751
species:ncbi:10116	1898519
species:ncbi:10095	1357525
species:ncbi:10090	816228
species:ncbi:12721	557258
species:ncbi:9913	457199
species:ncbi:9986	438413
species:ncbi:562	427542
species:ncbi:4932	406299
species:ncbi:9615	374784
species:ncbi:255564	277428
species:ncbi:9823	265800
species:ncbi:11676	215211
species:ncbi:11103	207574
species:ncbi:9685	193413
species:ncbi:9940	164926
species:ncbi:9031	156309
species:ncbi:1280	127817
species:ncbi:9796	123900
species:ncbi:4097	122457
species:ncbi:10141	121103
species:ncbi:210	112790
species:ncbi:10407	105164
species:ncbi:59837	97727
species:ncbi:173331	88936
species:ncbi:6239	81938
species:ncbi:10376	76258
species:ncbi:10566	74239
species:ncbi:287	70730
species:ncbi:4530	70016
species:ncbi:55581	69626
species:ncbi:4565	68517
species:ncbi:10535	63539
species:ncbi:10633	60809
species:ncbi:9925	58365
species:ncbi:1773	55987
species:ncbi:5833	51257
species:ncbi:7227	50947
species:ncbi:5476	46737
species:ncbi:1423	45145
species:ncbi:3847	43861
species:ncbi:381124	42904
species:ncbi:7955	42180
species:ncbi:10298	41528
species:ncbi:9544	40899
species:ncbi:29546	36782
species:ncbi:9103	35930
species:ncbi:76720	33481
species:ncbi:602	33340
species:ncbi:1313	33166
species:ncbi:38018	33068
species:ncbi:103820	31418
species:ncbi:10029	31390
species:ncbi:4896	31239
species:ncbi:12814	31189
species:ncbi:727	30815
species:ncbi:1639	28557
species:ncbi:3702	27817
species:ncbi:11309	27738
species:ncbi:7460	27108
species:ncbi:813	27069
species:ncbi:8355	26989
species:ncbi:3704	26498
species:ncbi:4081	25803
species:ncbi:5693	25568
species:ncbi:4113	25028
species:ncbi:3635	24775
species:ncbi:37162	24480
species:ncbi:9598	24352
species:ncbi:10359	24041
species:ncbi:545367	22939
species:ncbi:5811	22141
species:ncbi:31931	21474
species:ncbi:39059	21263
species:ncbi:8022	21015
species:ncbi:9557	20985
species:ncbi:6183	20096
species:ncbi:10245	19574
species:ncbi:138953	19105
species:ncbi:13443	18917
species:ncbi:573	18754
species:ncbi:10036	18561
species:ncbi:666	18233
species:ncbi:8839	17947
species:ncbi:1392	17903
species:ncbi:3888	17449
species:ncbi:139	17104
species:ncbi:10335	16647
species:ncbi:4754	16365
species:ncbi:197	16065
species:ncbi:3818	15984
species:ncbi:10469	15968
species:ncbi:485	15843
species:ncbi:3750	15681
species:ncbi:3483	15550
species:ncbi:83558	14706
species:ncbi:11723	14655
species:ncbi:4577	14552
species:ncbi:11276	14163
species:ncbi:185542	14116
species:ncbi:1309	13738
species:ncbi:837	13477
species:ncbi:1496	13324
species:ncbi:7962	13237
species:ncbi:11757	13234
species:ncbi:5691	13163
species:ncbi:1351	13120
species:ncbi:11082	13044
species:ncbi:11234	12930
species:ncbi:11709	12896
species:ncbi:1282	12590
species:ncbi:10255	12535
species:ncbi:3708	12487
species:ncbi:9541	12423
species:ncbi:12092	12203
species:ncbi:54290	12136
species:ncbi:7957	12112
species:ncbi:5759	12094
species:ncbi:7091	11996
species:ncbi:5085	11941
species:ncbi:12143	11861
species:ncbi:9669	11835
species:ncbi:11786	11641
species:ncbi:2104	11400
species:ncbi:3879	11348
species:ncbi:446	11314
species:ncbi:9319	11217
species:ncbi:5141	11086
species:ncbi:31658	11028
species:ncbi:1769	11024
species:ncbi:487	10973
species:ncbi:3562	10957
species:ncbi:11138	10879
species:ncbi:630	10764
species:ncbi:11176	10743
species:ncbi:1396	10577
species:ncbi:11886	10558
species:ncbi:1428	10477
species:ncbi:520	10449
species:ncbi:5855	10385
species:ncbi:12242	10373
species:ncbi:1765	10300
species:ncbi:10368	10086
species:ncbi:4682	10085
species:ncbi:272636	10045
species:ncbi:1314	9992
species:ncbi:302767	9979
species:ncbi:12475	9903
species:ncbi:1502	9898
species:ncbi:41568	9761
species:ncbi:44689	9746
species:ncbi:11673	9516
species:ncbi:28901	9449
species:ncbi:303	9304
species:ncbi:12672	9272
species:ncbi:10310	9191
species:ncbi:1764	9015
species:ncbi:12110	8836
species:ncbi:615	8759
species:ncbi:12637	8743
species:ncbi:4054	8508
species:ncbi:9860	8430
species:ncbi:11099	8420
species:ncbi:12461	8401
species:ncbi:5664	8243
species:ncbi:138334	8230
species:ncbi:817	8186
species:ncbi:11320	8144
species:ncbi:11072	8116
species:ncbi:5061	8043
species:ncbi:10798	8031
species:ncbi:162683	8028
species:ncbi:34205	7888
species:ncbi:1352	7849
species:ncbi:12215	7780
species:ncbi:8090	7750
species:ncbi:5821	7666
species:ncbi:5722	7614
species:ncbi:8400	7610
species:ncbi:7159	7601
species:ncbi:10710	7576
species:ncbi:10891	7570
species:ncbi:592	7563
species:ncbi:162425	7517
species:ncbi:632	7433
species:ncbi:10345	7302
species:ncbi:4550	7298
species:ncbi:36470	7178
species:ncbi:4558	7120
species:ncbi:1358	7098
species:ncbi:714	7071
species:ncbi:7165	7071
species:ncbi:11623	7042
species:ncbi:747	7041
species:ncbi:5207	7038
species:ncbi:9793	7036
species:ncbi:11901	7013
species:ncbi:9568	6893
species:ncbi:5807	6878
species:ncbi:235	6866
species:ncbi:5661	6832
species:ncbi:358	6828
species:ncbi:4513	6824
species:ncbi:11292	6714
species:ncbi:8030	6704
species:ncbi:601	6664
species:ncbi:4679	6487
species:ncbi:37296	6451
species:ncbi:294	6444
species:ncbi:6192	6397
species:ncbi:4922	6341
species:ncbi:4456	6178
species:ncbi:93934	6173
species:ncbi:584	6169
species:ncbi:1772	6143
species:ncbi:623	6132
species:ncbi:11191	6098
species:ncbi:4039	6028
species:ncbi:68887	5885
species:ncbi:12440	5880
species:ncbi:3055	5878
species:ncbi:405018	5816
species:ncbi:10629	5811
species:ncbi:71179	5674
species:ncbi:3885	5630
species:ncbi:3659	5624
species:ncbi:274	5602
species:ncbi:7130	5562
species:ncbi:160	5493
species:ncbi:5741	5434
species:ncbi:10047	5426
species:ncbi:9534	5408
species:ncbi:37334	5394
species:ncbi:10320	5291
species:ncbi:1063	5284
species:ncbi:40051	5237
species:ncbi:6334	5214
species:ncbi:6182	5186
species:ncbi:11120	5163
species:ncbi:3311	5132
species:ncbi:470	5123
species:ncbi:8164	5055
species:ncbi:10366	5045
species:ncbi:10632	5028
species:ncbi:480	4982
species:ncbi:1902	4963
species:ncbi:670	4905
species:ncbi:2130	4872
species:ncbi:777	4851
species:ncbi:550	4793
species:ncbi:28344	4777
species:ncbi:1319	4725
species:ncbi:11034	4716
species:ncbi:1582	4713
species:ncbi:10995	4709
species:ncbi:382	4694
species:ncbi:1491	4690
species:ncbi:317	4671
species:ncbi:1747	4604
species:ncbi:11232	4571
species:ncbi:1718	4553
species:ncbi:12104	4486
species:ncbi:644	4462
species:ncbi:11587	4403
species:ncbi:6185	4386
species:ncbi:9172	4366
species:ncbi:29176	4301
species:ncbi:6693	4273
species:ncbi:28450	4272
species:ncbi:11041	4271
species:ncbi:6253	4269
species:ncbi:633	4260
species:ncbi:3906	4242
species:ncbi:3641	4228
species:ncbi:292	4189
species:ncbi:263	4167
species:ncbi:159033	4160
species:ncbi:6402	4051
species:ncbi:6289	4010
species:ncbi:5478	4002
species:ncbi:1422	4000
species:ncbi:1829	3980
species:ncbi:9870	3974
species:ncbi:12305	3973
species:ncbi:10326	3940
species:ncbi:28985	3925
species:ncbi:8296	3895
species:ncbi:10571	3861
species:ncbi:5059	3808
species:ncbi:1270	3759
species:ncbi:9654	3750
species:ncbi:341683	3743
species:ncbi:6210	3740
species:ncbi:6282	3733
species:ncbi:2096	3727
species:ncbi:3983	3709
species:ncbi:1590	3695
species:ncbi:6252	3668
species:ncbi:227859	3649
species:ncbi:672	3618
species:ncbi:5911	3613
species:ncbi:12455	3607
species:ncbi:12639	3575
species:ncbi:1311	3574
species:ncbi:10760	3567
species:ncbi:9689	3556
species:ncbi:1404	3536
species:ncbi:7998	3527
species:ncbi:6956	3520
species:ncbi:4182	3500
species:ncbi:2098	3492
species:ncbi:40324	3490
species:ncbi:10243	3471
species:ncbi:715	3435
species:ncbi:11866	3425
species:ncbi:5480	3421
species:ncbi:3832	3417
species:ncbi:5671	3410
species:ncbi:6279	3403
species:ncbi:1916	3398
species:ncbi:9838	3382
species:ncbi:9483	3367
species:ncbi:11864	3347
species:ncbi:4222	3322
species:ncbi:23211	3295
species:ncbi:3988	3295
species:ncbi:34613	3290
species:ncbi:10152	3287
species:ncbi:1770	3282
species:ncbi:1061	3279
species:ncbi:1402	3278
species:ncbi:77643	3252
species:ncbi:3726	3238
species:ncbi:10804	3220
species:ncbi:1579	3215
species:ncbi:3864	3209
species:ncbi:7370	3206
species:ncbi:11665	3200
species:ncbi:7740	3191
species:ncbi:5482	3185
species:ncbi:161934	3182
species:ncbi:307630	3180
species:ncbi:5861	3177
species:ncbi:3880	3174
species:ncbi:8404	3170
species:ncbi:354	3156
species:ncbi:195	3136
species:ncbi:3747	3132
species:ncbi:37656	3130
species:ncbi:2287	3129
species:ncbi:5507	3114
species:ncbi:70862	3092
species:ncbi:518	3092
species:ncbi:9915	3059
species:ncbi:29459	3018
species:ncbi:948	3009
species:ncbi:94328	3000
